side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	industrialforegoing	Industrial Foregoing	1.21-3.6.39	NEOFORGE	HARD	659	0	281	1	3	true	false	0	4606	industrialforegoing-1.21-3.6.39.jar
target	industrialforegoingsouls	Industrial Foregoing Souls	1.10.7	NEOFORGE	TRIVIAL	34	0	13	0	0	false	false	0	133	industrial-foregoing-souls-1.21.1-1.10.7.jar
target	industrialization_overdrive	Industrialization Overdrive	1.12.1+1.21.1	NEOFORGE	TRIVIAL	45	0	15	0	0	false	false	0	127	industrialization_overdrive-1.12.1+1.21.1.jar
target	integratedcrafting	IntegratedCrafting	1.4.6	NEOFORGE	TRIVIAL	88	0	26	0	0	true	false	0	368	integratedcrafting-1.21.1-neoforge-1.4.6-605.jar
target	integrateddynamics	IntegratedDynamics	1.33.4	NEOFORGE	HARD	1690	0	448	1	1	true	false	0	4259	integrateddynamics-1.21.1-neoforge-1.33.4-1907.jar
target	integratedscripting	IntegratedScripting	1.0.24	NEOFORGE	TRIVIAL	106	0	28	0	0	false	false	0	27238	integratedscripting-1.21.1-neoforge-1.0.24-416.jar
target	integratedterminals	IntegratedTerminals	1.7.0	NEOFORGE	MODERATE	232	0	81	0	0	true	false	0	647	integratedterminals-1.21.1-neoforge-1.7.0-800.jar
target	integratedtunnels	IntegratedTunnels	1.9.4	NEOFORGE	MODERATE	192	0	80	0	0	true	false	0	666	integratedtunnels-1.21.1-neoforge-1.9.4-652.jar
target	interdimensionalwirelesstransmitter	Interdimensional Wireless Transmitter	1.21.1-0.1.5	NEOFORGE	TRIVIAL	48	0	15	0	0	false	false	0	138	interdimensionalwirelesstransmitter-neoforge-1.21.1-0.1.5.jar
target	invasiveopts	Invasive Optimizations	1.0.22	NEOFORGE	NIGHTMARE	105	0	17	1	43	false	false	2	257	invasiveopts-1.0.22.jar
target	invtweaks	Inventory Tweaks Refoxed	1.21.1-1.3.2	NEOFORGE	TRIVIAL	22	0	12	0	0	true	false	0	75	invtweaks-1.21.1-1.3.2.jar
target	iris	Iris	1.8.14-beta.1+mc1.21.1	NEOFORGE	NIGHTMARE	948	0	4	11	170	true	false	6	2481	iris-neoforge-1.8.14-beta.1+mc1.21.1.jar
target	iris_search	IrisSearch	1.5.1-neoforge	NEOFORGE	HARD	37	0	2	1	8	false	false	0	194	IrisSearch-1.5.1-neoforge.jar
target	ironfurnaces	Iron Furnaces	4.3.2	NEOFORGE	MODERATE	165	0	73	0	0	false	false	0	563	ironfurnaces-neoforge-1.21.1-4.3.2.jar
target	ironjetpacks	Iron Jetpacks	8.0.11	NEOFORGE	TRIVIAL	50	0	40	0	0	true	false	0	151	IronJetpacks-1.21.1-8.0.11.jar
target	irons_jewelry	Iron's Gems 'n Jewelry	1.21.1-2.0.2	NEOFORGE	HARD	152	0	62	1	4	true	false	0	714	irons_jewelry-1.21.1-2.0.2.jar
target	irons_lib	Iron's Lib	1.21.1-2.1.0	NEOFORGE	HARD	109	0	42	1	9	false	false	0	396	irons_lib-1.21.1-2.1.0.jar
target	irons_spellbooks	Iron's Spells 'n Spellbooks	1.21.1-3.16.2	NEOFORGE	NIGHTMARE	1186	0	583	1	36	true	false	0	13548	irons_spellbooks-1.21.1-3.16.2.jar
target	itemcollectors	Item Collectors	1.1.10	NEOFORGE	TRIVIAL	31	0	4	1	0	true	false	0	98	itemcollectors-1.1.10-neoforge-mc1.21.jar
target	jade	Jade	15.10.5+neoforge	NEOFORGE	HARD	301	0	5	1	6	true	false	0	708	Jade-1.21.1-NeoForge-15.10.5.jar
target	jearchaeology	Just Enough Archaeology	1.21.1-1.2.0	NEOFORGE	TRIVIAL	27	0	9	0	0	true	false	0	52	jearchaeology-1.21.1-1.2.0.jar
target	jei	Just Enough Items	19.43.0.392	NEOFORGE	MODERATE	993	0	35	0	0	true	false	0	1645	jei-1.21.1-neoforge-19.43.0.392.jar
target	jei_mekanism_multiblocks	Just Enough Mekanism Multiblocks	7.16	NEOFORGE	HARD	70	0	12	0	4	false	false	0	181	JustEnoughMekanismMultiblocks-1.21.1-7.16.jar
target	journeymap	Journeymap	1.21.1-6.0.2	NEOFORGE	NIGHTMARE	864	0	21	2	26	true	false	3	4058	journeymap-neoforge-1.21.1-6.0.2.jar
target	jumpboat	Jumpy Boats	1.21.0-1.0.5	NEOFORGE	HARD	4	0	4	0	1	false	false	0	5	jumpboat-1.21.0-1.0.5.jar
target	jupiter	Jupiter	2.3.7	NEOFORGE	HARD	155	0	8	1	2	false	false	0	272	jupiter-2.3.7-1.21.1-neoforge.jar
target	justdirethings	Just Dire Things	1.5.7	NEOFORGE	HARD	619	0	346	1	3	true	false	0	2786	justdirethings-1.5.7.jar
